Child,Parent
11,1
111,11
1111,111
11111,1111
111110,11111
11112,1111
111120,11112
11113,1111
111130,11113
11114,1111
111140,11114
11115,1111
111150,11115
11116,1111
111160,11116
11119,1111
111191,11119
111199,11119
1112,111
11121,1112
111211,11121
111219,11121
1113,111
11131,1113
111310,11131
11132,1113
111320,11132
11133,1113
111331,11133
111332,11133
111333,11133
111334,11133
111335,11133
111336,11133
111339,11133
1114,111
11141,1114
111411,11141
111419,11141
11142,1114
111421,11142
111422,11142
1119,111
11191,1119
111910,11191
11192,1119
111920,11192
11193,1119
111930,11193
11194,1119
111940,11194
11199,1119
111991,11199
111992,11199
111998,11199
112,11
1121,112
11211,1121
112111,11211
112112,11211
11212,1121
112120,11212
11213,1121
112130,11213
1122,112
11221,1122
112210,11221
1123,112
11231,1123
112310,11231
11232,1123
112320,11232
11233,1123
112330,11233
11234,1123
112340,11234
11239,1123
112390,11239
1124,112
11241,1124
112410,11241
11242,1124
112420,11242
1125,112
11251,1125
112511,11251
112512,11251
112519,11251
1129,112
11291,1129
112910,11291
11292,1129
112920,11292
11293,1129
112930,11293
11299,1129
112990,11299
113,11
1131,113
11311,1131
113110,11311
1132,113
11321,1132
113210,11321
1133,113
11331,1133
113310,11331
114,11
1141,114
11411,1141
114111,11411
114112,11411
114119,11411
1142,114
11421,1142
114210,11421
115,11
1151,115
11511,1151
115111,11511
115112,11511
115113,11511
115114,11511
115115,11511
115116,11511
1152,115
11521,1152
115210,11521
1153,115
11531,1153
115310,11531
21,1
211,21
2111,211
21111,2111
211111,21111
211112,21111
212,21
2121,212
21211,2121
212111,21211
212112,21211
212113,21211
2122,212
21221,2122
212210,21221
21222,2122
212221,21222
212222,21222
21223,2122
212231,21223
212234,21223
21229,2122
212291,21229
212299,21229
2123,212
21231,2123
212311,21231
212312,21231
212313,21231
212319,21231
21232,2123
212321,21232
212322,21232
212324,21232
212325,21232
21239,2123
212391,21239
212392,21239
212393,21239
212399,21239
213,21
2131,213
21311,2131
213111,21311
213112,21311
213113,21311
213114,21311
213115,21311
22,1
221,22
2211,221
22111,2211
221111,22111
221112,22111
221113,22111
221114,22111
221115,22111
221116,22111
221117,22111
221118,22111
22112,2211
221121,22112
221122,22112
2212,221
22121,2212
221210,22121
2213,221
22131,2213
221310,22131
22132,2213
221320,22132
22133,2213
221330,22133
23,1
236,23
2361,236
23611,2361
236115,23611
236116,23611
236117,23611
236118,23611
2362,236
23621,2362
236210,23621
23622,2362
236220,23622
237,23
2371,237
23711,2371
237110,23711
23712,2371
237120,23712
23713,2371
237130,23713
2372,237
23721,2372
237210,23721
2373,237
23731,2373
237310,23731
2379,237
23799,2379
237990,23799
238,23
2381,238
23811,2381
238110,23811
23812,2381
238120,23812
23813,2381
238130,23813
23814,2381
238140,23814
23815,2381
238150,23815
23816,2381
238160,23816
23817,2381
238170,23817
23819,2381
238190,23819
2382,238
23821,2382
238210,23821
23822,2382
238220,23822
23829,2382
238290,23829
2383,238
23831,2383
238310,23831
23832,2383
238320,23832
23833,2383
238330,23833
23834,2383
238340,23834
23835,2383
238350,23835
23839,2383
238390,23839
2389,238
23891,2389
238910,23891
23899,2389
238990,23899
31-33,1
311,31-33
3111,311
31111,3111
311111,31111
311119,31111
3112,311
31121,3112
311211,31121
311212,31121
311213,31121
31122,3112
311221,31122
311224,31122
311225,31122
31123,3112
311230,31123
3113,311
31131,3113
311313,31131
311314,31131
31134,3113
311340,31134
31135,3113
311351,31135
311352,31135
3114,311
31141,3114
311411,31141
311412,31141
31142,3114
311421,31142
311422,31142
311423,31142
3115,311
31151,3115
311511,31151
311512,31151
311513,31151
311514,31151
31152,3115
311520,31152
3116,311
31161,3116
311611,31161
311612,31161
311613,31161
311615,31161
3117,311
31171,3117
311710,31171
3118,311
31181,3118
311811,31181
311812,31181
311813,31181
31182,3118
311821,31182
311824,31182
31183,3118
311830,31183
3119,311
31191,3119
311911,31191
311919,31191
31192,3119
311920,31192
31193,3119
311930,31193
31194,3119
311941,31194
311942,31194
31199,3119
311991,31199
311999,31199
312,31-33
3121,312
31211,3121
312111,31211
312112,31211
312113,31211
31212,3121
312120,31212
31213,3121
312130,31213
31214,3121
312140,31214
3122,312
31223,3122
312230,31223
313,31-33
3131,313
31311,3131
313110,31311
3132,313
31321,3132
313210,31321
31322,3132
313220,31322
31323,3132
313230,31323
31324,3132
313240,31324
3133,313
31331,3133
313310,31331
31332,3133
313320,31332
314,31-33
3141,314
31411,3141
314110,31411
31412,3141
314120,31412
3149,314
31491,3149
314910,31491
31499,3149
314994,31499
314999,31499
315,31-33
3151,315
31511,3151
315110,31511
31519,3151
315190,31519
3152,315
31521,3152
315210,31521
31522,3152
315220,31522
31524,3152
315240,31524
31528,3152
315280,31528
3159,315
31599,3159
315990,31599
316,31-33
3161,316
31611,3161
316110,31611
3162,316
31621,3162
316210,31621
3169,316
31699,3169
316992,31699
316998,31699
321,31-33
3211,321
32111,3211
321113,32111
321114,32111
3212,321
32121,3212
321211,32121
321212,32121
321213,32121
321214,32121
321219,32121
3219,321
32191,3219
321911,32191
321912,32191
321918,32191
32192,3219
321920,32192
32199,3219
321991,32199
321992,32199
321999,32199
322,31-33
3221,322
32211,3221
322110,32211
32212,3221
322121,32212
322122,32212
32213,3221
322130,32213
3222,322
32221,3222
322211,32221
322212,32221
322219,32221
32222,3222
322220,32222
32223,3222
322230,32223
32229,3222
322291,32229
322299,32229
323,31-33
3231,323
32311,3231
323111,32311
323113,32311
323117,32311
32312,3231
323120,32312
324,31-33
3241,324
32411,3241
324110,32411
32412,3241
324121,32412
324122,32412
32419,3241
324191,32419
324199,32419
325,31-33
3251,325
32511,3251
325110,32511
32512,3251
325120,32512
32513,3251
325130,32513
32518,3251
325180,32518
32519,3251
325193,32519
325194,32519
325199,32519
3252,325
32521,3252
325211,32521
325212,32521
32522,3252
325220,32522
3253,325
32531,3253
325311,32531
325312,32531
325314,32531
32532,3253
325320,32532
3254,325
32541,3254
325411,32541
325412,32541
325413,32541
325414,32541
3255,325
32551,3255
325510,32551
32552,3255
325520,32552
3256,325
32561,3256
325611,32561
325612,32561
325613,32561
32562,3256
325620,32562
3259,325
32591,3259
325910,32591
32592,3259
325920,32592
32599,3259
325991,32599
325992,32599
325998,32599
326,31-33
3261,326
32611,3261
326111,32611
326112,32611
326113,32611
32612,3261
326121,32612
326122,32612
32613,3261
326130,32613
32614,3261
326140,32614
32615,3261
326150,32615
32616,3261
326160,32616
32619,3261
326191,32619
326199,32619
3262,326
32621,3262
326211,32621
326212,32621
32622,3262
326220,32622
32629,3262
326291,32629
326299,32629
327,31-33
3271,327
32711,3271
327110,32711
32712,3271
327120,32712
3272,327
32721,3272
327211,32721
327212,32721
327213,32721
327215,32721
